Offset-Description                                                                                                 
0000 - Pointer           189A30 : P->1002B6F98         189AD0 : P->1002B6F98         1898F0 : P->1002B6F98         
05B0 - Pointer           189FE0 : P->1002BDFD8         18A080 : P->1002BDFD8         189EA0 : P->1002BDFD8         
05B8 - Pointer to instance of TMBCSEncoding189FE8 : P->0012A720          18A088 : P->0012A720          189EA8 : P->0012A720          
05C0 - 4 Bytes           189FF0 : 0                    18A090 : 0                    189EB0 : 0                    
05C4 - 4 Bytes           189FF4 : 0                    18A094 : 0                    189EB4 : 0                    
05C8 - 4 Bytes           189FF8 : 0                    18A098 : 0                    189EB8 : 0                    
05CC - 4 Bytes (Hex)     189FFC : 2C220001             18A09C : 00000000             189EBC : 2C220001             
05D0 - 4 Bytes           18A000 : 61                   18A0A0 : 0                    189EC0 : 61                   
05D4 - 4 Bytes           18A004 : 0                    18A0A4 : 0                    189EC4 : 0                    
05D8 - 4 Bytes           18A008 : 0                    18A0A8 : 0                    189EC8 : 0                    
05DC - 4 Bytes           18A00C : 0                    18A0AC : 0                    189ECC : 0                    
05E0 - 4 Bytes           18A010 : 1                    18A0B0 : 0                    189ED0 : 1                    
05E4 - 4 Bytes           18A014 : 0                    18A0B4 : 0                    189ED4 : 0                    
05E8 - Pointer           18A018 : P->1002C0C70         18A0B8 : P->00000000          189ED8 : P->1002C0C70         
05F0 - 4 Bytes           18A020 : 1                    18A0C0 : 1                    189EE0 : 1                    
05F4 - 4 Bytes           18A024 : 0                    18A0C4 : 0                    189EE4 : 0                    
05F8 - Pointer           18A028 : P->00122730          18A0C8 : P->00000000          189EE8 : P->001226D0          
0600 - 4 Bytes           18A030 : 2                    18A0D0 : 0                    189EF0 : 2                    
0604 - 4 Bytes           18A034 : 4                    18A0D4 : 0                    189EF4 : 4                    
0608 - 4 Bytes           18A038 : 0                    18A0D8 : 0                    189EF8 : 0                    
060C - 4 Bytes           18A03C : 0                    18A0DC : 0                    189EFC : 0                    
0610 - 4 Bytes           18A040 : 0                    18A0E0 : 0                    189F00 : 0                    
0614 - 4 Bytes           18A044 : 0                    18A0E4 : 0                    189F04 : 0                    
0618 - 4 Bytes           18A048 : 0                    18A0E8 : 0                    189F08 : 0                    
061C - 4 Bytes           18A04C : 0                    18A0EC : 0                    189F0C : 0                    
0620 - 4 Bytes           18A050 : 0                    18A0F0 : 0                    189F10 : 0                    
0624 - 4 Bytes           18A054 : 0                    18A0F4 : 0                    189F14 : 0                    
0628 - 4 Bytes           18A058 : 0                    18A0F8 : 0                    189F18 : 0                    
062C - 4 Bytes           18A05C : 0                    18A0FC : 0                    189F1C : 0                    
0630 - 4 Bytes           18A060 : 0                    18A100 : 0                    189F20 : 0                    
0634 - 4 Bytes           18A064 : 0                    18A104 : 0                    189F24 : 0                    
0638 - 4 Bytes (Hex)     18A068 : 00F380A1             18A108 : 00FD80A1             189F28 : 00DF80A1             
063C - 4 Bytes           18A06C : 0                    18A10C : 0                    189F2C : 0                    
0640 - Pointer           18A070 : P->0018A7E8          18A110 : P->1002DA058         189F30 : P->00000001          
0648 - Pointer           18A078 : P->0018A748          18A118 : P->00000000          189F38 : P->00000001          
0650 - Pointer           18A080 : P->1002BDFD8         18A120 : P->1002BDFD8         189F40 : P->10003CB40         
0658 - Pointer to instance of TMBCSEncoding18A088 : P->0012A720          18A128 : P->00000001          189F48 : P->00199B10          
0660 - 4 Bytes           18A090 : 0                    18A130 : 65535                189F50 : 248640               
0664 - 4 Bytes           18A094 : 0                    18A134 : 0                    189F54 : 1                    
0668 - 4 Bytes           18A098 : 0                    18A138 : 1710208              189F58 : 1678608              
066C - 4 Bytes           18A09C : 0                    18A13C : 0                    189F5C : 0                    
0670 - 4 Bytes           18A0A0 : 0                    18A140 : 0                    189F60 : 242848               
0674 - 4 Bytes           18A0A4 : 0                    18A144 : 0                    189F64 : 1                    
0678 - 4 Bytes           18A0A8 : 0                    18A148 : 807840               189F68 : 1613456              
067C - 4 Bytes           18A0AC : 0                    18A14C : 1                    189F6C : 0                    
0680 - 4 Bytes           18A0B0 : 0                    18A150 : 1710208              189F70 : 0                    
0684 - 4 Bytes           18A0B4 : 0                    18A154 : 0                    189F74 : 0                    
0688 - 4 Bytes           18A0B8 : 0                    18A158 : 807456               189F78 : 0                    
068C - 4 Bytes           18A0BC : 0                    18A15C : 1                    189F7C : 0                    
0690 - 4 Bytes           18A0C0 : 1                    18A160 : 1710208              189F80 : 1                    
0694 - 4 Bytes           18A0C4 : 0                    18A164 : 0                    189F84 : 0                    
0698 - 4 Bytes           18A0C8 : 0                    18A168 : 0                    189F88 : 0                    
069C - 4 Bytes           18A0CC : 0                    18A16C : 1                    189F8C : 0                    
06A0 - 4 Bytes           18A0D0 : 0                    18A170 : 4                    189F90 : 0                    
06A4 - 4 Bytes           18A0D4 : 0                    18A174 : 0                    189F94 : 0                    
06A8 - 4 Bytes           18A0D8 : 0                    18A178 : 0                    189F98 : 0                    
06AC - 4 Bytes           18A0DC : 0                    18A17C : 0                    189F9C : 0                    
06B0 - 4 Bytes           18A0E0 : 0                    18A180 : 0                    189FA0 : 0                    
06B4 - 4 Bytes           18A0E4 : 0                    18A184 : 1                    189FA4 : 0                    
06B8 - 4 Bytes           18A0E8 : 0                    18A188 : 0                    189FA8 : 0                    
06BC - 4 Bytes           18A0EC : 0                    18A18C : 0                    189FAC : 0                    
06C0 - 4 Bytes           18A0F0 : 0                    18A190 : 0                    189FB0 : 0                    
06C4 - 4 Bytes           18A0F4 : 0                    18A194 : 0                    189FB4 : 0                    
06C8 - 4 Bytes           18A0F8 : 0                    18A198 : 0                    189FB8 : 0                    
06CC - 4 Bytes           18A0FC : 0                    18A19C : 0                    189FBC : 0                    
06D0 - 4 Bytes           18A100 : 0                    18A1A0 : 0                    189FC0 : 0                    
06D4 - 4 Bytes           18A104 : 0                    18A1A4 : 0                    189FC4 : 0                    
06D8 - 4 Bytes (Hex)     18A108 : 00FD80A1             18A1A8 : 010780A1             189FC8 : 00E980A1             
06DC - 4 Bytes           18A10C : 0                    18A1AC : 0                    189FCC : 0                    
06E0 - Pointer           18A110 : P->1002DA058         18A1B0 : P->1002BE4F0         189FD0 : P->1002BE4F0         
06E8 - 4 Bytes           18A118 : 0                    18A1B8 : 0                    189FD8 : 0                    
06EC - 4 Bytes           18A11C : 0                    18A1BC : 0                    189FDC : 0                    
06F0 - Pointer           18A120 : P->1002BDFD8         18A1C0 : P->1002BDFD8         189FE0 : P->1002BDFD8         
06F8 - 4 Bytes           18A128 : 1                    18A1C8 : 1222432              189FE8 : 1222432              
06FC - 4 Bytes           18A12C : 0                    18A1CC : 0                    189FEC : 0                    
0700 - 4 Bytes (Hex)     18A130 : 0000FFFF             18A1D0 : 00000000             189FF0 : 00000000             
0704 - 4 Bytes           18A134 : 0                    18A1D4 : 0                    189FF4 : 0                    
0708 - Pointer to instance of TBitmapCanvas18A138 : P->001A1880          18A1D8 : P->2C22000100000000  189FF8 : P->2C22000100000000  
0710 - 4 Bytes           18A140 : 0                    18A1E0 : 61                   18A000 : 61                   
0714 - 4 Bytes           18A144 : 0                    18A1E4 : 0                    18A004 : 0                    
0718 - Pointer           18A148 : P->1000C53A0         18A1E8 : P->00000000          18A008 : P->00000000          
0720 - Pointer to instance of TBitmapCanvas18A150 : P->001A1880          18A1F0 : P->00000001          18A010 : P->00000001          
0728 - Pointer           18A158 : P->1000C5220         18A1F8 : P->1002C0C70         18A018 : P->1002C0C70         
0730 - Pointer to instance of TBitmapCanvas18A160 : P->001A1880          18A200 : P->00000001          18A020 : P->00000001          
0738 - Pointer           18A168 : P->100000000         18A208 : P->00122790          18A028 : P->00122730          
0740 - 4 Bytes           18A170 : 4                    18A210 : 2                    18A030 : 2                    
0744 - 4 Bytes           18A174 : 0                    18A214 : 4                    18A034 : 4                    
0748 - 4 Bytes           18A178 : 0                    18A218 : 0                    18A038 : 0                    
074C - 4 Bytes           18A17C : 0                    18A21C : 0                    18A03C : 0                    
0750 - Pointer           18A180 : P->100000000         18A220 : P->00000000          18A040 : P->00000000          
0758 - 4 Bytes           18A188 : 0                    18A228 : 0                    18A048 : 0                    
075C - 4 Bytes           18A18C : 0                    18A22C : 0                    18A04C : 0                    
0760 - 4 Bytes           18A190 : 0                    18A230 : 0                    18A050 : 0                    
0764 - 4 Bytes           18A194 : 0                    18A234 : 0                    18A054 : 0                    
0768 - 4 Bytes           18A198 : 0                    18A238 : 0                    18A058 : 0                    
076C - 4 Bytes           18A19C : 0                    18A23C : 0                    18A05C : 0                    
0770 - 4 Bytes           18A1A0 : 0                    18A240 : 0                    18A060 : 0                    
0774 - 4 Bytes           18A1A4 : 0                    18A244 : 0                    18A064 : 0                    
0778 - 4 Bytes (Hex)     18A1A8 : 010780A1             18A248 : 011180A1             18A068 : 00F380A1             
077C - 4 Bytes           18A1AC : 0                    18A24C : 0                    18A06C : 0                    
0780 - Pointer           18A1B0 : P->1002BE4F0         18A250 : P->1002BE4F0         18A070 : P->0018A7E8          
0788 - 4 Bytes           18A1B8 : 0                    18A258 : 0                    18A078 : 1615688              
078C - 4 Bytes           18A1BC : 0                    18A25C : 0                    18A07C : 0                    
0790 - Pointer           18A1C0 : P->1002BDFD8         18A260 : P->1002BDFD8         18A080 : P->1002BDFD8         
0798 - Pointer to instance of TMBCSEncoding18A1C8 : P->0012A720          18A268 : P->0012A720          18A088 : P->0012A720          
07A0 - 4 Bytes           18A1D0 : 0                    18A270 : 0                    18A090 : 0                    
07A4 - 4 Bytes           18A1D4 : 0                    18A274 : 0                    18A094 : 0                    
07A8 - 4 Bytes           18A1D8 : 0                    18A278 : 0                    18A098 : 0                    
07AC - 4 Bytes (Hex)     18A1DC : 2C220001             18A27C : 2C220001             18A09C : 00000000             
07B0 - 4 Bytes           18A1E0 : 61                   18A280 : 61                   18A0A0 : 0                    
07B4 - 4 Bytes           18A1E4 : 0                    18A284 : 0                    18A0A4 : 0                    
07B8 - 4 Bytes           18A1E8 : 0                    18A288 : 0                    18A0A8 : 0                    
07BC - 4 Bytes           18A1EC : 0                    18A28C : 0                    18A0AC : 0                    
07C0 - 4 Bytes           18A1F0 : 1                    18A290 : 1                    18A0B0 : 0                    
07C4 - 4 Bytes           18A1F4 : 0                    18A294 : 0                    18A0B4 : 0                    
07C8 - Pointer           18A1F8 : P->1002C0C70         18A298 : P->1002C0C70         18A0B8 : P->00000000          
07D0 - 4 Bytes           18A200 : 1                    18A2A0 : 1                    18A0C0 : 1                    
07D4 - 4 Bytes           18A204 : 0                    18A2A4 : 0                    18A0C4 : 0                    
07D8 - Pointer           18A208 : P->00122790          18A2A8 : P->001227F0          18A0C8 : P->00000000          
07E0 - 4 Bytes           18A210 : 2                    18A2B0 : 2                    18A0D0 : 0                    
07E4 - 4 Bytes           18A214 : 4                    18A2B4 : 4                    18A0D4 : 0                    
07E8 - 4 Bytes           18A218 : 0                    18A2B8 : 0                    18A0D8 : 0                    
07EC - 4 Bytes           18A21C : 0                    18A2BC : 0                    18A0DC : 0                    
07F0 - 4 Bytes           18A220 : 0                    18A2C0 : 0                    18A0E0 : 0                    
07F4 - 4 Bytes           18A224 : 0                    18A2C4 : 0                    18A0E4 : 0                    
07F8 - 4 Bytes           18A228 : 0                    18A2C8 : 0                    18A0E8 : 0                    
07FC - 4 Bytes           18A22C : 0                    18A2CC : 0                    18A0EC : 0                    
0800 - 4 Bytes           18A230 : 0                    18A2D0 : 0                    18A0F0 : 0                    
0804 - 4 Bytes           18A234 : 0                    18A2D4 : 0                    18A0F4 : 0                    
0808 - 4 Bytes           18A238 : 0                    18A2D8 : 0                    18A0F8 : 0                    
080C - 4 Bytes           18A23C : 0                    18A2DC : 0                    18A0FC : 0                    
0810 - 4 Bytes           18A240 : 0                    18A2E0 : 0                    18A100 : 0                    
0814 - 4 Bytes           18A244 : 0                    18A2E4 : 0                    18A104 : 0                    
0818 - 4 Bytes (Hex)     18A248 : 011180A1             18A2E8 : 011B80A1             18A108 : 00FD80A1             
081C - 4 Bytes           18A24C : 0                    18A2EC : 0                    18A10C : 0                    
0820 - Pointer           18A250 : P->1002BE4F0         18A2F0 : P->1002BE4F0         18A110 : P->1002DA058         
0828 - 4 Bytes           18A258 : 0                    18A2F8 : 0                    18A118 : 0                    
082C - 4 Bytes           18A25C : 0                    18A2FC : 0                    18A11C : 0                    
0830 - Pointer           18A260 : P->1002BDFD8         18A300 : P->1002BDFD8         18A120 : P->1002BDFD8         
0838 - Pointer to instance of TMBCSEncoding18A268 : P->0012A720          18A308 : P->0012A720          18A128 : P->00000001          
0840 - 4 Bytes           18A270 : 0                    18A310 : 0                    18A130 : 65535                
0844 - 4 Bytes           18A274 : 0                    18A314 : 0                    18A134 : 0                    
0848 - 4 Bytes           18A278 : 0                    18A318 : 0                    18A138 : 1710208              
084C - 4 Bytes (Hex)     18A27C : 2C220001             18A31C : 2C220001             18A13C : 00000000             
0850 - 4 Bytes           18A280 : 61                   18A320 : 61                   18A140 : 0                    
0854 - 4 Bytes           18A284 : 0                    18A324 : 0                    18A144 : 0                    
0858 - 4 Bytes           18A288 : 0                    18A328 : 0                    18A148 : 807840               
085C - 4 Bytes           18A28C : 0                    18A32C : 0                    18A14C : 1                    
0860 - 4 Bytes           18A290 : 1                    18A330 : 1                    18A150 : 1710208              
0864 - 4 Bytes           18A294 : 0                    18A334 : 0                    18A154 : 0                    
0868 - Pointer           18A298 : P->1002C0C70         18A338 : P->1002C0C70         18A158 : P->1000C5220         
0870 - 4 Bytes           18A2A0 : 1                    18A340 : 1                    18A160 : 1710208              
0874 - 4 Bytes           18A2A4 : 0                    18A344 : 0                    18A164 : 0                    
0878 - Pointer           18A2A8 : P->001227F0          18A348 : P->00122850          18A168 : P->100000000         
0880 - 4 Bytes           18A2B0 : 2                    18A350 : 2                    18A170 : 4                    
0884 - 4 Bytes           18A2B4 : 4                    18A354 : 4                    18A174 : 0                    
0888 - 4 Bytes           18A2B8 : 0                    18A358 : 0                    18A178 : 0                    
088C - 4 Bytes           18A2BC : 0                    18A35C : 0                    18A17C : 0                    
0890 - 4 Bytes           18A2C0 : 0                    18A360 : 0                    18A180 : 0                    
0894 - 4 Bytes           18A2C4 : 0                    18A364 : 0                    18A184 : 1                    
0898 - 4 Bytes           18A2C8 : 0                    18A368 : 0                    18A188 : 0                    
089C - 4 Bytes           18A2CC : 0                    18A36C : 0                    18A18C : 0                    
08A0 - 4 Bytes           18A2D0 : 0                    18A370 : 0                    18A190 : 0                    
08A4 - 4 Bytes           18A2D4 : 0                    18A374 : 0                    18A194 : 0                    
08A8 - 4 Bytes           18A2D8 : 0                    18A378 : 0                    18A198 : 0                    
08AC - 4 Bytes           18A2DC : 0                    18A37C : 0                    18A19C : 0                    
08B0 - 4 Bytes           18A2E0 : 0                    18A380 : 0                    18A1A0 : 0                    
08B4 - 4 Bytes           18A2E4 : 0                    18A384 : 0                    18A1A4 : 0                    
08B8 - 4 Bytes (Hex)     18A2E8 : 011B80A1             18A388 : 012580A1             18A1A8 : 010780A1             
08BC - 4 Bytes           18A2EC : 0                    18A38C : 0                    18A1AC : 0                    
08C0 - Pointer           18A2F0 : P->1002BE4F0         18A390 : P->1002BE4F0         18A1B0 : P->1002BE4F0         
08C8 - 4 Bytes           18A2F8 : 0                    18A398 : 0                    18A1B8 : 0                    
08CC - 4 Bytes           18A2FC : 0                    18A39C : 0                    18A1BC : 0                    
08D0 - Pointer           18A300 : P->1002BDFD8         18A3A0 : P->1002BDFD8         18A1C0 : P->1002BDFD8         
08D8 - Pointer to instance of TMBCSEncoding18A308 : P->0012A720          18A3A8 : P->0012A720          18A1C8 : P->0012A720          
08E0 - 4 Bytes           18A310 : 0                    18A3B0 : 0                    18A1D0 : 0                    
08E4 - 4 Bytes           18A314 : 0                    18A3B4 : 0                    18A1D4 : 0                    
08E8 - 4 Bytes           18A318 : 0                    18A3B8 : 0                    18A1D8 : 0                    
08EC - 4 Bytes (Hex)     18A31C : 2C220001             18A3BC : 2C220001             18A1DC : 2C220001             
08F0 - 4 Bytes           18A320 : 61                   18A3C0 : 61                   18A1E0 : 61                   
08F4 - 4 Bytes           18A324 : 0                    18A3C4 : 0                    18A1E4 : 0                    
08F8 - 4 Bytes           18A328 : 0                    18A3C8 : 0                    18A1E8 : 0                    
08FC - 4 Bytes           18A32C : 0                    18A3CC : 0                    18A1EC : 0                    
0900 - 4 Bytes           18A330 : 1                    18A3D0 : 1                    18A1F0 : 1                    
0904 - 4 Bytes           18A334 : 0                    18A3D4 : 0                    18A1F4 : 0                    
0908 - Pointer           18A338 : P->1002C0C70         18A3D8 : P->1002C0C70         18A1F8 : P->1002C0C70         
0910 - 4 Bytes           18A340 : 1                    18A3E0 : 1                    18A200 : 1                    
0914 - 4 Bytes           18A344 : 0                    18A3E4 : 0                    18A204 : 0                    
0918 - Pointer           18A348 : P->00122850          18A3E8 : P->001228B0          18A208 : P->00122790          
0920 - 4 Bytes           18A350 : 2                    18A3F0 : 2                    18A210 : 2                    
0924 - 4 Bytes           18A354 : 4                    18A3F4 : 4                    18A214 : 4                    
0928 - 4 Bytes           18A358 : 0                    18A3F8 : 0                    18A218 : 0                    
092C - 4 Bytes           18A35C : 0                    18A3FC : 0                    18A21C : 0                    
0930 - 4 Bytes           18A360 : 0                    18A400 : 0                    18A220 : 0                    
0934 - 4 Bytes           18A364 : 0                    18A404 : 0                    18A224 : 0                    
0938 - 4 Bytes           18A368 : 0                    18A408 : 0                    18A228 : 0                    
093C - 4 Bytes           18A36C : 0                    18A40C : 0                    18A22C : 0                    
0940 - 4 Bytes           18A370 : 0                    18A410 : 0                    18A230 : 0                    
0944 - 4 Bytes           18A374 : 0                    18A414 : 0                    18A234 : 0                    
0948 - 4 Bytes           18A378 : 0                    18A418 : 0                    18A238 : 0                    
094C - 4 Bytes           18A37C : 0                    18A41C : 0                    18A23C : 0                    
0950 - 4 Bytes           18A380 : 0                    18A420 : 0                    18A240 : 0                    
0954 - 4 Bytes           18A384 : 0                    18A424 : 0                    18A244 : 0                    
0958 - 4 Bytes (Hex)     18A388 : 012580A1             18A428 : 012F80A1             18A248 : 011180A1             
095C - 4 Bytes           18A38C : 0                    18A42C : 0                    18A24C : 0                    
0960 - Pointer           18A390 : P->1002BE4F0         18A430 : P->1002BE4F0         18A250 : P->1002BE4F0         
0968 - 4 Bytes           18A398 : 0                    18A438 : 0                    18A258 : 0                    
096C - 4 Bytes           18A39C : 0                    18A43C : 0                    18A25C : 0                    
0970 - Pointer           18A3A0 : P->1002BDFD8         18A440 : P->1002BDFD8         18A260 : P->1002BDFD8         
0978 - Pointer to instance of TMBCSEncoding18A3A8 : P->0012A720          18A448 : P->0012A720          18A268 : P->0012A720          
0980 - 4 Bytes           18A3B0 : 0                    18A450 : 0                    18A270 : 0                    
0984 - 4 Bytes           18A3B4 : 0                    18A454 : 0                    18A274 : 0                    
0988 - 4 Bytes           18A3B8 : 0                    18A458 : 0                    18A278 : 0                    
098C - 4 Bytes (Hex)     18A3BC : 2C220001             18A45C : 2C220001             18A27C : 2C220001             
0990 - 4 Bytes           18A3C0 : 61                   18A460 : 61                   18A280 : 61                   
0994 - 4 Bytes           18A3C4 : 0                    18A464 : 0                    18A284 : 0                    
0998 - 4 Bytes           18A3C8 : 0                    18A468 : 0                    18A288 : 0                    
099C - 4 Bytes           18A3CC : 0                    18A46C : 0                    18A28C : 0                    
09A0 - 4 Bytes           18A3D0 : 1                    18A470 : 1                    18A290 : 1                    
09A4 - 4 Bytes           18A3D4 : 0                    18A474 : 0                    18A294 : 0                    
09A8 - Pointer           18A3D8 : P->1002C0C70         18A478 : P->1002C0C70         18A298 : P->1002C0C70         
09B0 - 4 Bytes           18A3E0 : 1                    18A480 : 1                    18A2A0 : 1                    
09B4 - 4 Bytes           18A3E4 : 0                    18A484 : 0                    18A2A4 : 0                    
09B8 - Pointer           18A3E8 : P->001228B0          18A488 : P->00122910          18A2A8 : P->001227F0          
09C0 - 4 Bytes           18A3F0 : 2                    18A490 : 2                    18A2B0 : 2                    
09C4 - 4 Bytes           18A3F4 : 4                    18A494 : 4                    18A2B4 : 4                    
09C8 - 4 Bytes           18A3F8 : 0                    18A498 : 0                    18A2B8 : 0                    
09CC - 4 Bytes           18A3FC : 0                    18A49C : 0                    18A2BC : 0                    
09D0 - 4 Bytes           18A400 : 0                    18A4A0 : 0                    18A2C0 : 0                    
09D4 - 4 Bytes           18A404 : 0                    18A4A4 : 0                    18A2C4 : 0                    
09D8 - 4 Bytes           18A408 : 0                    18A4A8 : 0                    18A2C8 : 0                    
09DC - 4 Bytes           18A40C : 0                    18A4AC : 0                    18A2CC : 0                    
09E0 - 4 Bytes           18A410 : 0                    18A4B0 : 0                    18A2D0 : 0                    
09E4 - 4 Bytes           18A414 : 0                    18A4B4 : 0                    18A2D4 : 0                    
09E8 - 4 Bytes           18A418 : 0                    18A4B8 : 0                    18A2D8 : 0                    
09EC - 4 Bytes           18A41C : 0                    18A4BC : 0                    18A2DC : 0                    
09F0 - 4 Bytes           18A420 : 0                    18A4C0 : 0                    18A2E0 : 0                    
09F4 - 4 Bytes           18A424 : 0                    18A4C4 : 0                    18A2E4 : 0                    
09F8 - 4 Bytes (Hex)     18A428 : 012F80A1             18A4C8 : 013980A1             18A2E8 : 011B80A1             
09FC - 4 Bytes           18A42C : 0                    18A4CC : 0                    18A2EC : 0                    
0A00 - Pointer           18A430 : P->1002BE4F0         18A4D0 : P->1002BE4F0         18A2F0 : P->1002BE4F0         
0A08 - 4 Bytes           18A438 : 0                    18A4D8 : 0                    18A2F8 : 0                    
0A0C - 4 Bytes           18A43C : 0                    18A4DC : 0                    18A2FC : 0                    
0A10 - Pointer           18A440 : P->1002BDFD8         18A4E0 : P->1002BDFD8         18A300 : P->1002BDFD8         
0A18 - Pointer to instance of TMBCSEncoding18A448 : P->0012A720          18A4E8 : P->0012A720          18A308 : P->0012A720          
0A20 - 4 Bytes           18A450 : 0                    18A4F0 : 0                    18A310 : 0                    
0A24 - 4 Bytes           18A454 : 0                    18A4F4 : 0                    18A314 : 0                    
0A28 - 4 Bytes           18A458 : 0                    18A4F8 : 0                    18A318 : 0                    
0A2C - 4 Bytes (Hex)     18A45C : 2C220001             18A4FC : 2C220001             18A31C : 2C220001             
0A30 - 4 Bytes           18A460 : 61                   18A500 : 61                   18A320 : 61                   
0A34 - 4 Bytes           18A464 : 0                    18A504 : 0                    18A324 : 0                    
0A38 - 4 Bytes           18A468 : 0                    18A508 : 0                    18A328 : 0                    
0A3C - 4 Bytes           18A46C : 0                    18A50C : 0                    18A32C : 0                    
0A40 - 4 Bytes           18A470 : 1                    18A510 : 1                    18A330 : 1                    
0A44 - 4 Bytes           18A474 : 0                    18A514 : 0                    18A334 : 0                    
0A48 - Pointer           18A478 : P->1002C0C70         18A518 : P->1002C0C70         18A338 : P->1002C0C70         
0A50 - 4 Bytes           18A480 : 1                    18A520 : 1                    18A340 : 1                    
0A54 - 4 Bytes           18A484 : 0                    18A524 : 0                    18A344 : 0                    
0A58 - Pointer           18A488 : P->00122910          18A528 : P->00122970          18A348 : P->00122850          
0A60 - 4 Bytes           18A490 : 2                    18A530 : 2                    18A350 : 2                    
0A64 - 4 Bytes           18A494 : 4                    18A534 : 4                    18A354 : 4                    
0A68 - 4 Bytes           18A498 : 0                    18A538 : 0                    18A358 : 0                    
0A6C - 4 Bytes           18A49C : 0                    18A53C : 0                    18A35C : 0                    
0A70 - 4 Bytes           18A4A0 : 0                    18A540 : 0                    18A360 : 0                    
0A74 - 4 Bytes           18A4A4 : 0                    18A544 : 0                    18A364 : 0                    
0A78 - 4 Bytes           18A4A8 : 0                    18A548 : 0                    18A368 : 0                    
0A7C - 4 Bytes           18A4AC : 0                    18A54C : 0                    18A36C : 0                    
0A80 - 4 Bytes           18A4B0 : 0                    18A550 : 0                    18A370 : 0                    
0A84 - 4 Bytes           18A4B4 : 0                    18A554 : 0                    18A374 : 0                    
0A88 - 4 Bytes           18A4B8 : 0                    18A558 : 0                    18A378 : 0                    
0A8C - 4 Bytes           18A4BC : 0                    18A55C : 0                    18A37C : 0                    
0A90 - 4 Bytes           18A4C0 : 0                    18A560 : 0                    18A380 : 0                    
0A94 - 4 Bytes           18A4C4 : 0                    18A564 : 0                    18A384 : 0                    
0A98 - 4 Bytes (Hex)     18A4C8 : 013980A1             18A568 : 014380A1             18A388 : 012580A1             
0A9C - 4 Bytes           18A4CC : 0                    18A56C : 0                    18A38C : 0                    
0AA0 - Pointer           18A4D0 : P->1002BE4F0         18A570 : P->1002BE4F0         18A390 : P->1002BE4F0         
0AA8 - 4 Bytes           18A4D8 : 0                    18A578 : 0                    18A398 : 0                    
0AAC - 4 Bytes           18A4DC : 0                    18A57C : 0                    18A39C : 0                    
0AB0 - Pointer           18A4E0 : P->1002BDFD8         18A580 : P->1002BDFD8         18A3A0 : P->1002BDFD8         
0AB8 - Pointer to instance of TMBCSEncoding18A4E8 : P->0012A720          18A588 : P->0012A720          18A3A8 : P->0012A720          
0AC0 - 4 Bytes           18A4F0 : 0                    18A590 : 0                    18A3B0 : 0                    
0AC4 - 4 Bytes           18A4F4 : 0                    18A594 : 0                    18A3B4 : 0                    
0AC8 - 4 Bytes           18A4F8 : 0                    18A598 : 0                    18A3B8 : 0                    
0ACC - 4 Bytes (Hex)     18A4FC : 2C220001             18A59C : 2C220001             18A3BC : 2C220001             
0AD0 - 4 Bytes           18A500 : 61                   18A5A0 : 61                   18A3C0 : 61                   
0AD4 - 4 Bytes           18A504 : 0                    18A5A4 : 0                    18A3C4 : 0                    
0AD8 - 4 Bytes           18A508 : 0                    18A5A8 : 0                    18A3C8 : 0                    
0ADC - 4 Bytes           18A50C : 0                    18A5AC : 0                    18A3CC : 0                    
0AE0 - 4 Bytes           18A510 : 1                    18A5B0 : 1                    18A3D0 : 1                    
0AE4 - 4 Bytes           18A514 : 0                    18A5B4 : 0                    18A3D4 : 0                    
0AE8 - Pointer           18A518 : P->1002C0C70         18A5B8 : P->1002C0C70         18A3D8 : P->1002C0C70         
0AF0 - 4 Bytes           18A520 : 1                    18A5C0 : 1                    18A3E0 : 1                    
0AF4 - 4 Bytes           18A524 : 0                    18A5C4 : 0                    18A3E4 : 0                    
0AF8 - Pointer           18A528 : P->00122970          18A5C8 : P->001229D0          18A3E8 : P->001228B0          
0B00 - 4 Bytes           18A530 : 2                    18A5D0 : 2                    18A3F0 : 2                    
0B04 - 4 Bytes           18A534 : 4                    18A5D4 : 4                    18A3F4 : 4                    
0B08 - 4 Bytes           18A538 : 0                    18A5D8 : 0                    18A3F8 : 0                    
0B0C - 4 Bytes           18A53C : 0                    18A5DC : 0                    18A3FC : 0                    
0B10 - 4 Bytes           18A540 : 0                    18A5E0 : 0                    18A400 : 0                    
0B14 - 4 Bytes           18A544 : 0                    18A5E4 : 0                    18A404 : 0                    
0B18 - 4 Bytes           18A548 : 0                    18A5E8 : 0                    18A408 : 0                    
0B1C - 4 Bytes           18A54C : 0                    18A5EC : 0                    18A40C : 0                    
0B20 - 4 Bytes           18A550 : 0                    18A5F0 : 0                    18A410 : 0                    
0B24 - 4 Bytes           18A554 : 0                    18A5F4 : 0                    18A414 : 0                    
0B28 - 4 Bytes           18A558 : 0                    18A5F8 : 0                    18A418 : 0                    
0B2C - 4 Bytes           18A55C : 0                    18A5FC : 0                    18A41C : 0                    
0B30 - 4 Bytes           18A560 : 0                    18A600 : 0                    18A420 : 0                    
0B34 - 4 Bytes           18A564 : 0                    18A604 : 0                    18A424 : 0                    
0B38 - 4 Bytes (Hex)     18A568 : 014380A1             18A608 : 014D80A1             18A428 : 012F80A1             
0B3C - 4 Bytes           18A56C : 0                    18A60C : 0                    18A42C : 0                    
